"ID","category","fuel","scientific_name","states"
35,"Tree","Basswood, American","Tilia americana","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV"
36,"Shrub","Bastardsage","Eriogonum wrightii","AZ, NM, NV, TX, UT, CA"
37,"Grass","Beaked Spikerush","Eleocharis rostellata","AL, AZ, CO, CT, DE, FL, GA, ID, IL, IN, KS, LA, MA, MD, ME, MI, MN, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TX, UT, VA, WA, WI, WV, WY, PR, CA"
38,"Shrub","Bearberry, Apline","Arctostaphylos alpina","AK, ME, NH"
39,"Shrub","Bearberry, Red Fruit","Arctostaphylos rubra","AR, WY"
40,"Tree","Bearbrush","Garrya fremontii","OR, WA"
41,"Forb","Beargrass, Common","Xerophyllum tenax","ID, MT, OR, WA, WY, CA"
42,"Shrub","Bedstraw, Northern","Galium boreale","AK, AZ, CO, CT, DE, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
43,"Tree","Beech, American","Fagus grandifolia","AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, UT, VA, VT, WI, WV"
44,"Grass","Bentgrass, Redtop","Agrostis gigantea","AK, AL, AR, AZ, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
45,"Grass","Bentgrass, Spike","Agrostis exarata","AK, AZ, CO, ID, KY, MT, NE, NM, NV, OK, OR, SD, TX, UT, VT, WA, WY, CA"
