"ID","category","fuel","scientific_name","states"
602,"Grass","Sedge, Shorts","Carex shortiana","AR, DC, IA, IL, IN, KS, KY, MD, MO, NY, OH, OK, PA, TN, VA, WV"
603,"Grass","Sedge, Silvery","Carex canescens","AK, AZ, CO, CT, DE, ID, IL, IN, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SC, SD, UT, VA, VT, WA, WI, WV, WY, CA"
604,"Grass","Sedge, Slenderbeak","Carex athrostachya","AK, AZ, CO, ID, MT, ND, NM, NV, OR, SD, TX, UT, WA, WY, CA"
605,"Grass","Sedge, Slough","Carex obnupta","OR, WA"
606,"Grass","Sedge, Smallwing","Carex microptera","AZ, CO, ID, MT, NM, NV, OR, SD, UT, WA, WY, CA"
607,"Grass","Sedge, Softleaf","Carex disperma","AK, AZ, CO, CT, ID, IL, IN, MA, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OR, PA, SD, UT, VT, WA, WI, WY, CA"
608,"Grass","Sedge, Southwestern Showy","Carex bella","AZ, CO, NM, NV, SD, UT"
609,"Grass","Sedge, Squarrose","Carex squarrosa","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, RI, SC, TN, VA, WI, WV"
610,"Grass","Sedge, Star","Carex echinata","AK, CO, CT, DC, HI, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, TN, UT, VA, VT, WA, WI, WV, WY, CA"
611,"Grass","Sedge, Sun","Carex inops ssp. heliophila","CO, IA, IL, IN, KS, MI, MN, MO, MT, ND, NE, NM, OK, SD, UT, WI, WY"
612,"Grass","Sedge, Thicket","Carex abscondita","AL, AR, CT, DC, DE, FL, GA, KY, LA, MA, MD, MO, MS, NC, NH, NJ, NY, OK, PA, RI, SC, TN, TX, VA"
613,"Grass","Sedge, Thinfruit","Carex flaccosperma","AL, AR, DC, FL, GA, IL, KS, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA"
614,"Grass","Sedge, Threadleaf","Carex filifolia","AK, AZ, CO, ID, KS, MN, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY, CA"
615,"Grass","Sedge, Threeseeded","Carex trisperma","CT, DE, IL, IN, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV"
616,"Grass","Sedge, Twisted","Carex torta","AL, AR, CT, DC, DE, GA, IL, IN, KY, MA, MD, ME, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WV"
617,"Grass","Sedge, Upright","Carex stricta","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY"
618,"Grass","Sedge, Variable","Carex polymorpha","CT, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VA, WV"
619,"Grass","Sedge, Wheat","Carex atherodes","AK, AZ, CO, IA, ID, IL, IN, KS, ME, MI, MN, MO, MT, ND, NE, NM, NV, NY, OH, OR, PA, SD, UT, VA, WA, WI, WV, WY, CA"
620,"Grass","Sedge, White Edge","Carex debilis","AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV"
621,"Tree","Sequoia, Giant","Sequoiadendron giganteum","CA"
622,"Tree","Serviceberry, Allegheny","Amelanchier laevis","AL, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV"
623,"Shrub","Serviceberry, Coastal","Amelanchier obovalis","AL, DE, GA, MA, MD, NC, NJ, PA, SC, VA"
624,"Tree","Serviceberry, Saskatoon","Amelanchier alnifolia","AK, CO, IA, ID, MN, MT, ND, NE, NV, OR, SD, UT, WA, WY, CA"
625,"Tree","Serviceberry, Utah","Amelanchier utahensis","AZ, CO, ID, MT, NM, NV, OR, TX, UT, WA, WY, CA"
626,"Tree","Sheoak, Beach","Casuarina equisetifolia","FL, HI, PR, VI"
627,"Tree","Sheoak, Gray","Casuarina glauca","FL, HI"
628,"Shrub","Shortspine Horsebrush","Tetradymia spinosa","CO, ID, MT, NM, NV, OR, UT, WY, CA"
629,"Forb","Showy Milkweed","Asclepias speciosa","AZ, CO, IA, ID, IL, KS, MI, MN, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WI, WY, CA"
630,"Shrub","Silverberry","Elaeagnus commutata","AK, CO, ID, KY, MD, MN, MT, ND, RI, SD, TX, UT, WA, WY"
631,"Shrub","Snakeweed Broom","Gutierrezia sarothrae","AZ, CO, ID, KS, MN, MT, ND, NE, NM, NV, NY, OK, OR, SC, SD, TX, UT, WA, WY, CA"
632,"Forb","Sneezeweed, Purplehead","Helenium flexuosum","AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV"
633,"Shrub","Snowberry, Mountain","Symphoricarpos oreophilus","AZ, CO, ID, MT, NM, NV, OR, TX, UT, WA, WY"
634,"Shrub","Snowberry, Western","Symphoricarpos occidentalis","CO, IA, ID, IL, IN, KS, KY, MA, MD, MI, MN, MO, MT, ND, NE, NM, NY, OH, OK, OR, PA, SD, TX, UT, WA, WI, WY"
635,"Tree","Soapberry, Western","Sapindus saponaria var. drummondii","AR, AZ, CO, KS, LA, MO, NM, OK, TX"
636,"Tree","Sourwood","Oxydendrum arboreum","AL, AR, FL, GA, IL, IN, KY, LA, MD, MS, NC, NY, OH, PA, RI, SC, TN, VA, WV"
637,"Tree","Spruce, Black","Picea mariana","AK, CT, IL, MA, ME, MI, MN, NH, NJ, NY, PA, RI, VT, WI"
638,"Tree","Spruce, Blue","Picea pungens","AZ, CO, ID, MA, MD, ME, NM, NY, PA, UT, WY"
639,"Tree","Spruce, Brewer","Picea breweriana","OR, CA"
640,"Tree","Spruce, Engelmann","Picea engelmannii","AZ, CO, ID, MT, NM, NV, OR, UT, WA, WY, CA"
641,"Tree","Spruce, Norway","Picea abies","CT, IL, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV"
642,"Tree","Spruce, Red","Picea rubens","CT, MA, MD, ME, NC, NH, NJ, NY, PA, TN, VA, VT, WV"
643,"Tree","Spruce, Sitka","Picea sitchensis","AK, OR, WA"
644,"Tree","Spruce, White","Picea glauca","AK, CT, ID, MA, MD, ME, MI, MN, MT, NH, NY, PA, RI, SD, VT, WI, WY"
645,"Shrub","Squashberry","Viburnum edule","AK, CO, ID, ME, MI, MN, MT, NH, NY, OR, PA, SD, VT, WA, WI, WY"
646,"Grass","Squirreltail","Elymus elymoides","AZ, CO, DC, ID, IL, KS, KY, MO, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY, CA"
647,"Tree","Sugarberry","Celtis laevigata","AL, AR, AZ, CO, DC, FL, GA, ID, IL, IN, KS, KY, LA, MD, MO, MS, NC, NM, NV, OK, OR, SC, TN, TX, UT, VA, WA, WV, WY, CA"
648,"Shrub","Sumac, Fragrant","Rhus aromatica","AL, AR, CT, DC, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV"
649,"Shrub","Sumac, Laurel","Malosma laurina","CA"
650,"Tree","Sumac, Littleleaf","Rhus microphylla","AZ, NM, OK, TX"
651,"Shrub","Sumac, Skunkbush","Rhus trilobata","AR, AZ, CO, IA, ID, KS, MD, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY, CA"
652,"Tree","Sumac, Smooth","Rhus glabra","AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
653,"Shrub","Sumac, Staghorn","Rhus typhina","AL, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, PA, RI, SC, SD, TN, UT, VA, VT, WI, WV"
654,"Tree","Sumac, Sugar","Rhus ovata","AZ, CA"
655,"Tree","Sumac, Winged","Rhus copallinum","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV"
656,"Tree","Sweetgum","Liquidambar styraciflua","AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV, CA"
657,"Shrub","Sweetpepperbush, Coastal","Clethra alnifolia","AL, CT, DE, FL, GA, LA, MA, MD, ME, MS, NC, NH, NJ, NY, PA, RI, SC, TN, TX, VA"
658,"Forb","Sweetvetch, Alpine","Hedysarum alpinum","AK, ME, MI, MT, ND, NE, NH, RI, SD, VT, WY"
659,"Forb","Sweetvetch, Utah","Hedysarum boreale","AK, AZ, CO, ID, MT, ND, NM, NV, OK, OR, SD, TX, UT, WA, WY"
660,"Forb","Sweetvetch, White","Hedysarum sulphurescens","ID, MT, OR, WA, WY"
661,"Grass","Switchgrass","Panicum virgatum","AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV, WY"
662,"Tree","Sycamore, American","Platanus occidentalis","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV"
663,"Tree","Sycamore, Arizona","Platanus wrightii","AZ, NM"
664,"Tree","Sycamore, California","Platanus racemosa","CA"
665,"Tree","Tallow, Chinese","Triadica sebifera","AL, AR, FL, GA, LA, MS, NC, SC, TX, CA"
666,"Tree","Tamarack","Larix laricina","AK, CT, IL, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VT, WI, WV"
667,"Tree","Tamarisk","Tamarix L.","AR, AZ, CA, CO, CT, DE, FL, GA, ID, IL, KS, KY, LA, MA, MI, MO, MS, MT, NC, ND, NE, NJ, NM, NV, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WY, PR"
668,"Tree","Tanoak","Lithocarpus densiflorus","OR, CA"
669,"Shrub","Tarragon","Artemisia dracunculus","AK, AZ, CO, CT, IA, ID, IL, KS, MA, MN, MO, MT, ND, NE, NM, NV, NY, OK, OR, SD, TX, UT, WA, WI, WY, CA"
670,"Shrub","Tarwort, American","Flourensia cernua","AZ, NM, TX"
671,"Forb","Thistle, Bull","Cirsium vulgare","AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
672,"Forb","Thistle, Canada","Cirsium arvense","AK, AL, AR, AZ, CO, CT, DC, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY, CA"
673,"Forb","Thistle, Elk","Cirsium foliosum","AK, ID, MT, WA, WY"
674,"Forb","Thistle, New Mexico","Cirsium neomexicanum","AZ, CO, NM, NV, UT, CA"
675,"Forb","Thistle, Russian","Salsola kali","AL, CT, DC, DE, FL, GA, LA, MA, MD, ME, MS, NC, NH, NJ, NY, OR, PA, RI, SC, TX, VA, VT, WA"
676,"Forb","Thistle, Yellow Star","Centaurea solstitialis","AZ, CO, CT, FL, IA, ID, IL, IN, KS, KY, MA, MD, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY, CA"
677,"Grass","Threeawn, Arizona","Aristida arizonica","AZ, CO, NM, NV, OK, TX, UT"
678,"Grass","Threeawn, Fender","Aristida purpurea var. longiseta","AZ, CO, IA, ID, KS, LA, MN, MT, NC, ND, NE, NM, NV, OK, OR, SC, SD, TX, UT, WA, WY, CA"
679,"Grass","Threeawn, Pineland","Aristida stricta","NC, SC"
680,"Grass","Threeawn, Poverty","Aristida divaricata","AZ, CO, KS, NM, OK, TX, CA"
681,"Grass","Threeawn, Purple","Aristida purpurea","AR, AZ, CO, IA, ID, IL, KS, LA, MN, MT, NC, ND, NE, NM, NV, OK, OR, SC, SD, TX, UT, VT, WA, WY, CA"
682,"Tree","Titi, Swamp","Cyrilla racemiflora","AL, DE, FL, GA, LA, MS, NC, SC, TX, VA"
683,"Tree","Tuliptree","Liriodendron tulipifera","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, PA, RI, SC, TN, TX, VA, VT, WV"
684,"Tree","Walnut, Arizona","Juglans major","AZ, NM, OK, TX, UT"
685,"Tree","Walnut, Black","Juglans nigra","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, WI, WV"
686,"Tree","Walnut, English","Juglans regia","ID, MI, NY, WA, CA"
